Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Soil_Type1,Soil_Type2,Soil_Type3,Soil_Type4,Soil_Type5,Soil_Type6,Soil_Type7,Soil_Type8,Soil_Type9,Soil_Type10,Soil_Type11,Soil_Type12,Soil_Type13,Soil_Type14,Soil_Type15,Soil_Type16,Soil_Type17,Soil_Type18,Soil_Type19,Soil_Type20,Soil_Type21,Soil_Type22,Soil_Type23,Soil_Type24,Soil_Type25,Soil_Type26,Soil_Type27,Soil_Type28,Soil_Type29,Soil_Type30,Soil_Type31,Soil_Type32,Soil_Type33,Soil_Type34,Soil_Type35,Soil_Type36,Soil_Type37,Soil_Type38,Soil_Type39,Soil_Type40
1.44771133712,1.03849311284,0.515432391575,0.191598528923,-0.115555025943,1.47169776544,-1.43689614329,1.1518106742,1.86053261287,-0.105488943613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.45412342046,-0.705601017217,-1.77851799099,-1.04067702463,-0.850375998976,0.493066256577,0.178452359249,0.554550570465,0.161745703764,0.393866292718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.0422439239,0.547966638761,0.91151007422,1.02951680668,-1.07898696836,-0.85594615313,-1.01534114373,2.09903081939,1.30328270611,-0.614398733203,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.384691975681,1.81061811833,-1.00980188705,-0.904531704437,-0.801387934107,0.65181387463,-0.454974192499,0.14961531705,0.435021469909,-1.46843817945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.721422765271,-1.33238484521,-0.28869096302,-1.04067702463,-0.687082449413,-1.36148647111,-0.52157859139,-0.480467076233,0.161745703764,-0.0137290436156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42376945961,0.457128402821,0.515432391575,1.88179548509,1.07648788587,1.60421966182,-0.616751315126,2.09903081939,0.970443577903,0.699272419781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.188368580101,-0.678349546435,-1.1793108705,-0.0148637169259,-0.164543090812,-0.703576557381,0.467505456491,0.260304477998,-0.151339146869,-2.64971966507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.56417685362,1.41092988019,1.18726350577,0.754360282971,-0.311507285418,-1.19776112206,-1.6921779267,-0.645747972695,1.64098966016,-0.293607855229,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760579452585,1.41092988019,0.191559323027,1.69633653986,4.08108919782,-0.430727890507,-1.33687135347,0.0957207149251,1.30328270611,0.189153396415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.19786612772,-0.905445136286,0.717979116713,-1.04067702463,-0.605435674632,0.0701115176975,0.417189451982,-1.35485480362,-1.18990253484,-0.437103697616,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.513978114234,-0.587511310494,0.302478586794,0.182258702878,-0.491130189938,-1.36148647111,1.33483149839,-0.645747972695,-1.0886240779,-0.0180519935682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.32954645402,0.121026929841,0.91151007422,0.566082505582,2.02359047333,-1.09222670919,0.417189451982,1.1518106742,-0.151339146869,-2.0245747809,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9153519731,-0.905445136286,0.0773268527572,-1.78376361328,-0.83404664402,-0.690894288821,0.417189451982,-0.871046900819,-0.756820038789,-0.170005868616,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.74297045503,-1.11437307895,-0.850595569117,-1.78376361328,-0.83404664402,-1.28941214262,-0.0398944389354,-0.110486624674,0.0267841746968,0.0247494450166,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08140061122,-0.00614660047557,-0.850595569117,-1.04067702463,-0.932022773757,1.65913759484,0.518704172672,1.08091380152,0.116631136369,1.50242830248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
